FORENAME/NAME/COUNTRY/BIRTH_DATE/GUEST_ANIMAL_ALLERGY/HOST_HAS_ANIMAL/GUEST_FOOD_CONSTRAINT/HOST_FOOD/HOBBIES/GENDER/PAIR_GENDER/HISTORY
Chloé/MOREAU/FRANCE/2008-04-19/non/non/vegetarien/vegetarien/cuisine,voyage/femme/homme/other
Alice/LEGER/FRANCE/2008-05-30/non/non/sans noix/sans noix/cinema,natation/femme/homme/other
Paul/BONNET/FRANCE/2007-03-10/non/non/sans lactose/sans lactose/randonnee,photographie/homme/femme/other
Antoine/ROUX/FRANCE/2007-10-25/non/non//sans arachides/sport,cinema/homme/homme/other
Luca/PETIT/FRANCE/2010-03-01/non/non//vegetarien/sport,technologie/homme/femme/same
Beatrice/GALLO/ITALIE/2008-09-09/non/oui//vegetarien/danse,musique/femme/homme/same
Louis/DAVID/FRANCE/2010-06-14/oui/non/sans lactose/sans lactose/football,voyage/homme/femme/other
Emma/ROBERT/FRANCE/2006-09-12/oui/non/sans noix/sans noix/cinema,lecture/femme/femme/other
Victoria/SIMON/FRANCE/2006-04-04/non/non/vegetarien/sans gluten/dessin,musique/femme/homme/other
Enzo/THOMAS/FRANCE/2010-05-13/oui/non/vegetarien/vegetalien/jeux video,lecture/homme/homme/other
Agathe/COLIN/FRANCE/2007-08-08/oui/non/sans gluten/vegetalien/cuisine,jardinage/femme/femme/other
Noah/DUBOIS/FRANCE/2006-05-20/non/non/vegetarien/vegetarien/dessin,cinema/homme/femme/other
Hugo/DUVAL/FRANCE/2010-09-01/non/non//vegetarien/sport,histoire/homme/homme/other
Sarah/BERNARD/FRANCE/2006-03-29/oui/non/sans lactose/sans gluten/musique,danse/femme/femme/other
Mathilde/ROBERT/FRANCE/2008-06-21/non/non/sans gluten/sans noix/cuisine,photographie/femme/femme/other
Gabriele/MARINO/ITALIE/2010-04-06/oui/non/sans gluten/sans noix/cinema,histoire/homme/homme/other
Sophie/BERNARD/FRANCE/2009-11-05/non/non/sans noix/vegetarien/cuisine,lecture/femme/homme/other
Léo/DUBOIS/FRANCE/2010-02-07/non/non//sans noix/technologie,cinema/homme/homme/other
Alessandro/FERRARI/ITALIE/2007-07-19/non/non//sans noix/football,lecture/homme/femme/other
Maxime/GILLET/FRANCE/2007-12-04/oui/non/vegetalien/vegetarien/jeux de société,cuisine/homme/femme/other
Romane/SCHMITT/FRANCE/2009-01-23/non/oui//sans noix/danse,lecture/femme/femme/same
Raphaël/DELAPORTE/FRANCE/2006-10-11/oui/non/vegetarien/sans lactose/musique,technologie/homme/homme/other
Chiara/BIANCHI/ITALIE/2008-01-07/oui/non/sans noix/sans noix/musique,peinture/femme/homme/other
Clara/LEFEVRE/FRANCE/2009-10-08/oui/non/sans gluten/sans gluten/equitation,voyage/femme/homme/other
Jeanne/PERRIN/FRANCE/2008-02-15/non/non/sans gluten/sans gluten/voyage,lecture/femme/homme/other
Manon/FOURNIER/FRANCE/2008-03-22/oui/non/vegetarien/vegetarien/musique,danse/femme/femme/other
Adrien/MARTIN/FRANCE/2009-07-11/non/oui//vegetarien/sport,jeux video/homme/femme/same
Giulia/VERDI/ITALIE/2009-08-16/non/oui//vegetarien/danse,lecture/femme/femme/same
Tom/GIRAUD/FRANCE/2009-04-28/non/oui//sans lactose/football,cinema/homme/femme/same
Ethan/MOREAU/FRANCE/2010-11-14/non/non//sans gluten/technologie,jeux video/homme/homme/same
Marco/CONTI/ITALIE/2010-02-03/non/non//sans noix/jeux video,culture/homme/femme/same
Arthur/FAURE/FRANCE/2006-11-20/non/oui//sans gluten/musique,sport/homme/femme/same
Zoé/MATHIEU/FRANCE/2009-03-17/oui/non/vegetalien/vegetarien/danse,lecture/femme/homme/other
Malo/RAUX/ITALIE/2007-04-29/non/non/vegetarien/sans noix/sport,lecture/homme/femme/other
Eva/DUPONT/FRANCE/2006-06-03/non/non/vegetarien/sans lactose/yoga,cuisine/femme/homme/other
Camille/BLANC/FRANCE/2007-05-17/non/non/vegetarien/vegetalien/cuisine,lecture/femme/homme/other
Julie/RIVERE/FRANCE/2006-07-09/oui/non/sans arachides/sans arachides/dessin,musique/femme/femme/other
Nathan/MORIN/FRANCE/2006-12-09/non/oui//sans noix/musique,technologie/homme/femme/same
Sofia/RICCI/ITALIE/2009-02-25/oui/non/sans gluten/vegetarien/peinture,ecriture/femme/femme/other
Margaux/BERTRAND/FRANCE/2008-01-03/non/oui//vegetarien/lecture,peinture/femme/femme/same
Jade/DURAND/FRANCE/2007-09-02/non/non/sans arachides/sans arachides/dessin,lecture/femme/homme/other
Victor/ROBIN/FRANCE/2008-08-02/oui/non/sans noix/vegetarien/jeux video,technologie/homme/homme/same
Léa/DUPUIS/FRANCE/2010-01-12/non/non/vegetarien/sans noix/lecture,yoga/femme/femme/other
Clément/MARCHAND/FRANCE/2010-03-19/non/oui//vegetarien/sport,lecture/homme/femme/same
Chloé/LAMBERT/FRANCE/2009-06-05/oui/non/vegetalien/vegetalien/mode,design/femme/homme/other
Alice/DURAND/FRANCE/2008-07-23/oui/non/vegetarien/vegetarien/lecture,musique/femme/homme/other
Louis/ROUSSEAU/FRANCE/2007-01-01/non/oui//sans noix/sport,lecture/homme/femme/same
Leo/MARTIN/FRANCE/2006-02-18/non/oui//sans noix/football,jeux video/homme/femme/same
