FORENAME/NAME/COUNTRY/BIRTH_DATE/GUEST_ANIMAL_ALLERGY/HOST_HAS_ANIMAL/GUEST_FOOD_CONSTRAINT/HOST_FOOD/HOBBIES/GENDER/PAIR_GENDER/HISTORY
Chloé/MOREAU/FRANCE/2008-04-19/non/non/vegetarien/vegetarien/cuisine,voyage/femme/homme/other
Alice/LEGER/FRANCE/2008-05-30/non/non/sans noix/sans noix/cinema,natation/femme/homme/other
Paul/BONNET/FRANCE/2007-03-10/non/non/sans lactose/sans lactose/randonnee,photographie/homme/femme/other
Antoine/ROUX/FRANCE/2007-10-25/non/non//sans arachides/sport,cinema/homme/homme/other
Luca/PETIT/FRANCE/2010-03-01/non/non//vegetarien/sport,technologie/homme/femme/same
Louis/DAVID/FRANCE/2010-06-14/oui/non/sans lactose/sans lactose/football,voyage/homme/femme/other
Emma/ROBERT/FRANCE/2006-09-12/oui/non/sans noix/sans noix/cinema,lecture/femme/femme/other
Victoria/SIMON/FRANCE/2006-04-04/non/non/vegetarien/sans gluten/dessin,musique/femme/homme/other
Enzo/THOMAS/FRANCE/2010-05-13/oui/non/vegetarien/vegetalien/jeux video,lecture/homme/homme/other
Agathe/COLIN/FRANCE/2007-08-08/oui/non/sans gluten/vegetalien/cuisine,jardinage/femme/femme/other
Noah/DUBOIS/FRANCE/2006-05-20/non/non/vegetarien/vegetarien/dessin,cinema/homme/femme/other
Hugo/DUVAL/FRANCE/2010-09-01/non/non//vegetarien/sport,histoire/homme/homme/other
Sarah/BERNARD/FRANCE/2006-03-29/oui/non/sans lactose/sans gluten/musique,danse/femme/femme/other
Mathilde/ROBERT/FRANCE/2008-06-21/non/non/sans gluten/sans noix/cuisine,photographie/femme/femme/other
Sophie/BERNARD/FRANCE/2009-11-05/non/non/sans noix/vegetarien/cuisine,lecture/femme/homme/other
Léo/DUBOIS/FRANCE/2010-02-07/non/non//sans noix/technologie,cinema/homme/homme/other
Maxime/GILLET/FRANCE/2007-12-04/oui/non/vegetalien/vegetarien/jeux de société,cuisine/homme/femme/other
Romane/SCHMITT/FRANCE/2009-01-23/non/oui//sans noix/danse,lecture/femme/femme/same
Raphaël/DELAPORTE/FRANCE/2006-10-11/oui/non/vegetarien/sans lactose/musique,technologie/homme/homme/other
